N,P,K,temperature,humidity,pH,rainfall,crop,variety
127.43,59.82,55.57,16.61,68.66,6.2,62.95,Cauliflower,Cauliflower
209.08,66.35,92.02,33.33,71.52,6.51,235.13,Sugarcane,Other
26.24,46.7,20.31,32.41,54.89,6.91,59.67,Green Gram Dal(Moong Dal),Green Gram Dal
89.33,40.84,57.31,25.99,82.42,6.33,170.44,Rice,Common
99.97,46.28,94.89,24.24,52.71,7.31,66.65,Grapes,Other
106.92,52.59,114.96,26.75,55.87,5.97,114.88,Mango(Raw-Ripe),Other
102.65,57.59,54.39,20.32,64.88,6.64,87.27,Wheat,Local
93.5,37.86,43.99,33.26,75.36,6.89,88.45,Bhindi(Ladies Finger),Bhindi
249.36,102.73,203.36,30.85,78.98,6.71,101.29,Papaya,Papaya
233.56,126.1,169.45,28.21,70.05,6.35,116.53,Papaya,Papaya
57.35,35.41,28.32,15.54,51.85,6.38,63.04,Coriander(Leaves),Coriander
113.09,52.18,59.2,17.94,76.76,6.68,88.59,Cabbage,Cabbage
34.6,47.86,33.87,25.53,61.31,7.45,82.22,Groundnut,Local
43.38,32.73,34.5,22.86,66.12,7.32,55.99,Coriander(Leaves),Coriander
51.91,23.61,97.98,29.99,86.38,7.07,233.24,Coconut,Coconut
92.94,44.28,58.84,23.95,51.0,6.01,82.02,Onion,Local
33.2,42.05,26.7,23.91,56.14,6.52,34.25,Bengal Gram(Gram)(Whole),Desi (Whole)
239.83,59.81,284.29,29.37,84.35,6.39,197.72,Banana,Other
47.42,37.02,98.43,25.69,85.91,6.75,192.3,Coconut,Coconut
74.52,32.08,89.9,19.93,64.76,6.88,95.38,Grapes,Other
38.44,57.17,36.12,20.2,55.13,7.15,52.69,Groundnut,Local
80.2,42.35,44.84,27.62,70.93,7.31,96.04,Bhindi(Ladies Finger),Bhindi
90.27,58.93,51.72,26.27,52.68,6.15,64.5,Green Chilli,Green Chilly
25.28,41.77,32.02,23.6,50.62,6.18,65.41,Arhar Dal(Tur Dal),Arhar Dal(Tur)
127.71,57.36,61.31,17.56,67.44,6.32,54.9,Cauliflower,Cauliflower
47.26,31.91,26.61,28.4,42.24,7.48,52.2,Bajra(Pearl Millet/Cumbu),Hybrid
247.93,149.34,243.6,25.78,79.92,6.36,168.73,Papaya,Papaya
146.06,53.55,105.64,27.8,61.37,6.77,126.67,Turmeric(raw),Other
33.0,54.12,49.28,22.15,52.0,7.09,57.31,Groundnut,Local
103.96,46.32,103.28,20.65,77.9,5.99,194.41,Ginger(Green),Green Ginger
119.24,54.87,41.38,29.01,59.1,6.9,98.71,Cotton,Other
60.88,28.7,28.9,25.43,48.73,6.58,64.0,Bajra(Pearl Millet/Cumbu),Hybrid
218.05,146.04,218.32,29.72,76.61,6.62,189.74,Papaya,Papaya
56.55,32.24,85.61,29.06,81.15,7.5,167.44,Coconut,Coconut
60.08,31.88,31.15,23.99,64.97,8.0,48.11,Mustard,Mustard
39.52,49.26,27.2,15.2,42.79,6.61,74.33,Bengal Gram(Gram)(Whole),Desi (Whole)
218.37,67.7,223.52,32.95,88.8,6.04,152.87,Banana,Other
107.65,43.78,43.82,22.96,58.18,6.89,74.38,Green Chilli,Green Chilly
235.71,73.17,118.04,33.87,73.19,7.1,238.24,Sugarcane,Other
105.94,53.01,62.64,15.24,62.65,6.98,71.58,Cabbage,Cabbage
84.94,35.52,33.72,19.32,55.94,7.74,59.96,Mustard,Mustard
114.12,44.19,108.48,28.51,61.33,6.34,156.58,Ginger(Green),Green Ginger
190.24,75.1,234.26,25.48,77.01,6.27,161.92,Banana,Other
112.01,78.82,75.0,24.95,60.79,7.47,130.9,Tomato,Tomato
131.9,53.82,68.52,22.73,70.62,6.36,100.04,Maize,Hybrid/Local
116.66,58.01,118.4,34.36,49.12,5.83,136.71,Mango(Raw-Ripe),Other
32.54,55.03,36.56,15.41,54.17,6.13,32.81,Bengal Gram(Gram)(Whole),Desi (Whole)
94.14,48.28,51.27,20.94,60.12,6.85,88.76,Wheat,Local
106.26,51.52,50.3,21.46,68.11,6.91,60.64,Green Chilli,Green Chilly
162.37,117.21,95.31,17.07,60.64,5.13,96.79,Potato,Potato
63.9,23.58,21.84,30.03,53.56,6.44,41.85,Bajra(Pearl Millet/Cumbu),Hybrid
230.03,62.48,88.75,20.76,68.43,7.79,156.18,Sugarcane,Other
119.84,58.85,44.72,30.69,71.14,6.46,290.74,Rice,Common
118.78,58.06,87.09,25.86,75.35,5.53,191.43,Ginger(Green),Green Ginger
74.33,51.62,59.53,29.4,51.57,6.18,99.08,Pumpkin,Pumpkin
191.45,132.2,207.59,26.28,62.25,7.21,142.2,Papaya,Papaya
173.95,106.24,229.89,33.91,79.56,6.04,153.3,Papaya,Papaya
80.09,51.23,55.23,27.19,69.0,6.55,59.22,Pumpkin,Pumpkin
74.71,54.27,47.81,26.7,56.97,7.31,55.83,Pumpkin,Pumpkin
170.61,58.45,252.41,31.65,89.83,7.17,172.25,Banana,Other
160.1,62.07,277.64,26.27,85.13,6.92,181.84,Banana,Other
118.26,58.66,43.32,29.61,65.31,6.34,69.72,Brinjal,Brinjal
21.65,58.62,24.39,21.28,52.54,7.49,72.67,Bengal Gram(Gram)(Whole),Desi (Whole)
186.34,73.09,117.1,24.49,75.11,6.28,199.34,Sugarcane,Other
20.82,49.88,41.77,23.16,69.77,6.83,78.95,Groundnut,Local
62.62,47.07,49.31,23.01,58.6,7.11,91.48,Pumpkin,Pumpkin
82.19,42.39,42.68,16.48,63.69,6.53,97.54,Garlic,Garlic
66.05,49.8,54.23,26.5,55.2,6.47,98.57,Pumpkin,Pumpkin
109.46,57.95,115.18,22.73,66.03,5.71,121.04,Ginger(Green),Green Ginger
74.54,31.5,119.4,32.84,74.68,7.56,184.29,Coconut,Coconut
67.2,44.33,43.18,22.47,78.02,5.71,112.4,Paddy(Basmati),Basmati
74.21,24.3,84.15,30.14,87.26,7.65,202.06,Coconut,Coconut
107.11,61.22,78.51,20.74,61.16,7.19,97.0,Tomato,Tomato
135.29,42.11,47.4,27.85,71.31,7.49,74.48,Cotton,Other
149.33,78.24,63.25,24.82,63.82,7.11,135.39,Tomato,Tomato
21.85,59.69,28.2,21.44,55.08,7.99,52.39,Bengal Gram(Gram)(Whole),Desi (Whole)
81.62,42.33,50.7,25.15,61.96,6.42,67.71,Brinjal,Brinjal
19.64,45.17,21.8,27.11,79.99,7.1,59.6,Green Gram Dal(Moong Dal),Green Gram Dal
103.42,52.59,117.53,22.24,76.18,6.18,144.17,Ginger(Green),Green Ginger
100.45,48.89,48.79,20.22,63.21,6.27,80.79,Green Chilli,Green Chilly
75.35,36.1,86.8,16.38,76.59,6.44,85.74,Apple,Apple
231.76,60.61,109.51,31.2,73.57,6.84,206.63,Sugarcane,Other
20.21,37.85,29.01,27.37,59.05,6.82,59.72,Green Gram Dal(Moong Dal),Green Gram Dal
85.5,42.95,41.96,27.69,62.69,6.41,69.38,Pumpkin,Pumpkin
117.22,67.68,56.95,17.57,61.88,6.95,85.86,Cauliflower,Cauliflower
99.7,45.18,42.94,20.92,58.03,7.0,84.47,Green Chilli,Green Chilly
96.91,55.44,40.32,24.64,61.09,7.67,84.9,Wheat,Local
160.17,127.31,174.3,34.34,77.11,6.27,162.77,Papaya,Papaya
28.07,51.87,30.79,22.0,72.63,7.1,70.6,Soyabean,Local
99.66,48.01,31.72,28.18,72.49,7.42,77.87,Bhindi(Ladies Finger),Bhindi
30.33,54.41,46.1,24.57,65.17,6.75,62.78,Groundnut,Local
52.88,22.1,39.12,23.18,60.7,6.62,71.64,Coriander(Leaves),Coriander
66.91,25.27,37.23,29.54,49.59,6.6,60.53,Bajra(Pearl Millet/Cumbu),Hybrid
101.25,48.04,57.71,15.55,51.75,6.58,52.77,Wheat,Local
68.72,52.22,56.04,26.38,57.04,6.75,68.22,Pumpkin,Pumpkin
94.51,49.69,43.91,26.18,70.6,6.62,182.16,Paddy(Basmati),Basmati
22.91,35.89,27.25,28.81,66.11,6.5,75.79,Green Gram Dal(Moong Dal),Green Gram Dal
75.93,33.55,27.04,26.54,46.08,6.58,69.34,Bajra(Pearl Millet/Cumbu),Hybrid
146.67,41.76,56.05,31.62,77.16,7.78,117.38,Cotton,Other
51.62,29.58,117.46,28.94,72.84,7.23,161.91,Coconut,Coconut
67.8,53.02,54.31,23.63,67.33,6.31,52.75,Garlic,Garlic
143.34,52.55,54.83,27.73,59.46,6.67,73.12,Maize,Hybrid/Local
170.62,83.79,109.45,16.83,77.64,5.14,85.42,Potato,Potato
87.72,41.14,84.87,22.44,67.31,5.74,164.56,Ginger(Green),Green Ginger
198.41,118.61,203.12,25.45,65.79,6.63,144.99,Papaya,Papaya
105.76,53.58,59.53,28.45,73.47,6.64,96.31,Brinjal,Brinjal
91.98,46.08,40.22,24.29,75.91,5.74,188.25,Paddy(Basmati),Basmati
81.72,55.01,49.69,17.73,53.09,7.76,91.5,Wheat,Local
113.86,46.67,89.65,34.51,66.61,7.15,86.2,Mango(Raw-Ripe),Other
118.39,47.16,48.27,15.28,65.65,7.8,50.06,Wheat,Local
104.92,57.46,59.85,26.96,88.01,6.55,179.66,Rice,Common
39.96,46.54,34.01,22.33,66.25,6.54,54.75,Groundnut,Local
83.49,47.15,50.6,22.83,67.03,6.57,82.54,Green Chilli,Green Chilly
161.85,108.56,205.94,31.14,62.48,6.31,125.25,Papaya,Papaya
71.1,37.57,32.0,16.72,68.12,7.99,45.25,Mustard,Mustard
63.14,26.94,90.94,18.83,63.27,6.41,80.82,Apple,Apple
145.02,89.85,84.06,19.15,79.53,5.39,63.32,Potato,Potato
88.61,34.31,31.88,17.87,55.56,7.11,55.86,Mustard,Mustard
31.22,43.46,35.56,18.47,56.72,7.57,33.57,Bengal Gram(Gram)(Whole),Desi (Whole)
20.4,49.7,25.07,32.51,61.91,6.01,44.99,Green Gram Dal(Moong Dal),Green Gram Dal
87.6,58.38,50.65,27.0,53.66,7.45,93.55,Pumpkin,Pumpkin
122.96,67.13,53.68,21.43,72.58,6.45,90.7,Cauliflower,Cauliflower
141.37,54.27,67.75,27.89,73.36,6.06,107.99,Maize,Hybrid/Local
165.02,78.41,261.35,26.89,92.14,6.69,151.28,Banana,Other
166.1,52.89,100.54,25.63,78.17,7.54,224.12,Sugarcane,Other
108.55,44.96,104.8,31.91,59.7,7.32,90.12,Mango(Raw-Ripe),Other
105.91,56.89,55.68,24.21,62.3,6.56,115.54,Brinjal,Brinjal
23.05,42.27,29.19,25.0,49.9,7.59,69.35,Bengal Gram(Gram)(Whole),Desi (Whole)
91.17,54.51,54.68,21.06,52.04,6.47,82.37,Green Chilli,Green Chilly
71.39,46.73,35.42,32.02,63.97,7.4,79.34,Bhindi(Ladies Finger),Bhindi
26.08,58.79,24.55,25.05,53.61,7.0,64.44,Arhar Dal(Tur Dal),Arhar Dal(Tur)
149.01,43.93,118.79,16.3,68.36,6.83,96.07,Orange,Orange
75.75,45.58,46.99,17.4,51.35,6.07,65.81,Mustard,Mustard
105.78,52.74,52.68,29.23,75.96,6.13,97.31,Brinjal,Brinjal
69.57,45.72,35.71,21.75,69.19,7.24,51.08,Mustard,Mustard
90.71,43.26,48.78,23.17,59.86,6.14,98.1,Pumpkin,Pumpkin
35.7,51.17,31.79,29.08,58.62,7.05,58.57,Groundnut,Local
141.93,67.01,68.34,26.0,63.89,6.05,99.79,Tomato,Tomato
40.91,31.05,23.39,22.45,56.32,6.19,79.57,Coriander(Leaves),Coriander
75.74,34.52,43.53,29.08,62.16,6.2,91.93,Bhindi(Ladies Finger),Bhindi
126.87,87.55,104.56,17.8,78.85,5.11,59.58,Potato,Potato
241.45,52.89,119.14,23.96,75.59,7.82,227.85,Sugarcane,Other
208.87,54.78,116.68,28.14,82.74,7.42,178.36,Sugarcane,Other
107.98,50.1,50.28,15.5,65.72,7.29,70.56,Cauliflower,Cauliflower
25.28,44.52,24.23,25.06,77.85,6.41,40.72,Green Gram Dal(Moong Dal),Green Gram Dal
107.14,59.49,53.51,29.51,54.48,7.21,63.16,Green Chilli,Green Chilly
102.38,42.74,41.83,16.53,50.43,7.51,87.15,Wheat,Local
33.51,42.47,37.39,16.0,46.72,7.23,52.1,Bengal Gram(Gram)(Whole),Desi (Whole)
119.58,67.03,54.97,25.35,60.81,6.55,110.24,Maize,Hybrid/Local
112.08,48.05,90.67,31.44,62.09,6.0,133.09,Mango(Raw-Ripe),Other
100.95,52.11,82.52,23.72,72.26,6.32,144.79,Ginger(Green),Green Ginger
134.95,54.03,98.91,26.02,79.81,6.01,178.0,Turmeric(raw),Other
145.07,51.06,56.97,26.03,65.87,6.53,102.5,Maize,Hybrid/Local
138.32,48.42,97.99,26.4,70.29,7.22,121.72,Orange,Orange
95.24,48.27,52.4,21.13,58.32,6.1,52.01,Pumpkin,Pumpkin
101.36,41.34,49.86,22.71,66.53,6.83,83.76,Wheat,Local
101.85,46.14,51.72,24.2,76.4,6.89,86.43,Brinjal,Brinjal
225.61,68.66,87.53,22.09,77.3,7.65,241.83,Sugarcane,Other
42.4,38.75,38.74,32.97,46.53,7.97,57.27,Bajra(Pearl Millet/Cumbu),Hybrid
112.56,77.1,70.56,18.45,84.42,6.35,110.44,Tomato,Tomato
23.71,31.76,26.7,25.4,72.8,6.56,68.85,Green Gram Dal(Moong Dal),Green Gram Dal
125.04,47.0,46.88,29.23,76.57,7.76,84.02,Cotton,Other
131.48,42.06,44.43,34.66,69.56,6.74,76.61,Cotton,Other
64.23,46.75,91.95,17.86,69.77,6.94,80.13,Grapes,Other
208.26,134.16,248.62,33.62,69.44,6.57,149.86,Papaya,Papaya
102.71,65.52,60.12,20.93,70.03,7.2,76.53,Cauliflower,Cauliflower
43.95,31.53,25.15,34.04,48.71,7.27,51.45,Bajra(Pearl Millet/Cumbu),Hybrid
86.07,37.69,47.94,17.79,67.62,7.51,77.08,Mustard,Mustard
98.8,50.43,48.55,26.05,66.48,6.81,99.92,Brinjal,Brinjal
59.03,29.31,88.46,29.49,81.71,7.57,226.09,Coconut,Coconut
144.86,44.34,86.14,19.33,60.47,7.49,106.16,Orange,Orange
63.51,30.09,39.09,25.01,74.54,6.62,159.12,Paddy(Basmati),Basmati
149.6,60.41,59.34,21.46,64.09,7.17,104.02,Maize,Hybrid/Local
117.54,47.42,40.12,25.64,63.7,6.93,54.23,Green Chilli,Green Chilly
23.1,58.55,29.91,26.57,50.24,7.49,87.19,Arhar Dal(Tur Dal),Arhar Dal(Tur)
22.44,40.27,34.22,22.52,50.31,6.75,91.84,Arhar Dal(Tur Dal),Arhar Dal(Tur)
64.99,21.85,117.05,29.15,78.34,6.86,231.03,Coconut,Coconut
106.11,40.52,80.85,22.26,77.07,7.11,121.66,Turmeric(raw),Other
75.07,45.64,41.29,29.97,59.83,7.07,50.46,Pumpkin,Pumpkin
91.89,44.24,42.6,22.2,68.79,6.39,79.53,Brinjal,Brinjal
92.7,43.91,49.9,13.59,58.93,7.42,88.07,Garlic,Garlic
98.35,41.64,116.16,28.52,75.64,6.28,134.22,Ginger(Green),Green Ginger
66.7,48.52,46.9,17.27,56.7,7.99,66.04,Mustard,Mustard
19.32,32.59,26.78,26.9,56.8,6.38,79.65,Green Gram Dal(Moong Dal),Green Gram Dal
55.73,33.16,20.09,20.24,50.26,7.39,78.17,Coriander(Leaves),Coriander
89.43,41.36,53.48,23.69,57.92,7.01,98.5,Wheat,Local
57.99,30.32,24.78,20.59,56.02,6.65,43.78,Coriander(Leaves),Coriander
237.6,129.87,225.25,30.86,62.86,7.49,161.36,Papaya,Papaya
21.33,51.65,38.8,26.55,57.79,6.08,74.78,Arhar Dal(Tur Dal),Arhar Dal(Tur)
80.22,39.75,42.77,24.27,51.97,6.02,76.58,Mustard,Mustard
54.44,29.92,101.12,32.29,71.02,7.02,238.22,Coconut,Coconut
109.34,64.37,56.89,17.48,69.23,6.69,52.33,Cauliflower,Cauliflower
16.07,39.15,20.66,34.92,62.27,6.3,64.02,Green Gram Dal(Moong Dal),Green Gram Dal
87.83,30.71,43.38,24.04,72.34,5.56,142.46,Paddy(Basmati),Basmati
145.51,89.48,110.77,19.26,74.65,5.19,65.4,Potato,Potato
161.93,108.67,114.16,19.2,69.04,5.82,98.26,Potato,Potato
77.83,20.66,32.49,33.55,50.6,7.22,51.97,Bajra(Pearl Millet/Cumbu),Hybrid
121.74,56.86,54.84,29.34,73.68,7.79,109.88,Cotton,Other
107.05,58.04,118.43,24.37,56.56,5.77,81.15,Mango(Raw-Ripe),Other
37.46,47.16,22.87,22.32,50.68,6.38,37.1,Bengal Gram(Gram)(Whole),Desi (Whole)
97.47,47.76,36.51,29.17,78.57,6.69,142.14,Paddy(Basmati),Basmati
93.55,41.88,49.24,12.38,62.24,6.77,77.65,Garlic,Garlic
125.31,41.47,100.49,26.07,63.73,6.44,193.05,Turmeric(raw),Other
64.53,41.32,43.39,21.14,66.79,6.82,165.31,Paddy(Basmati),Basmati
105.24,56.95,59.27,18.98,63.33,6.37,96.07,Maize,Hybrid/Local
29.0,51.61,29.77,27.09,63.7,6.18,83.05,Arhar Dal(Tur Dal),Arhar Dal(Tur)
148.85,59.04,58.54,21.09,67.39,6.91,75.02,Cauliflower,Cauliflower
139.59,47.71,57.48,28.83,65.98,6.88,84.96,Cotton,Other
142.42,78.29,79.14,24.98,78.43,7.08,95.0,Tomato,Tomato
90.22,44.65,55.22,31.43,79.56,5.55,238.82,Rice,Common
76.89,37.48,32.79,25.96,79.0,5.63,183.81,Paddy(Basmati),Basmati
23.63,49.59,37.45,18.69,44.48,7.66,79.23,Bengal Gram(Gram)(Whole),Desi (Whole)
92.23,53.73,42.96,26.97,56.61,6.68,60.07,Pumpkin,Pumpkin
119.76,45.34,59.89,18.73,63.83,6.62,98.92,Onion,Local
74.96,52.03,49.62,21.86,51.1,7.18,78.9,Garlic,Garlic
115.23,44.78,54.79,33.95,70.37,6.03,114.22,Cotton,Other
45.22,31.6,36.38,18.07,63.66,6.54,50.09,Coriander(Leaves),Coriander
102.44,51.15,51.69,22.31,59.08,6.89,88.61,Onion,Local
114.24,59.47,50.88,21.21,50.63,6.88,53.27,Green Chilli,Green Chilly
94.61,52.91,57.2,21.19,63.18,7.06,84.59,Green Chilli,Green Chilly
80.38,56.19,52.79,29.49,68.04,6.12,119.39,Brinjal,Brinjal
167.5,112.61,204.59,31.31,66.38,6.9,194.83,Papaya,Papaya
144.62,54.02,53.67,22.32,69.6,6.62,62.25,Maize,Hybrid/Local
33.67,54.44,20.08,17.79,58.75,6.23,36.71,Bengal Gram(Gram)(Whole),Desi (Whole)
153.35,65.72,246.71,25.03,81.7,6.19,204.0,Banana,Other
238.35,51.14,114.64,21.36,65.56,6.13,167.95,Sugarcane,Other
143.51,49.39,58.68,25.43,68.38,7.06,62.61,Cotton,Other
27.51,53.89,33.71,22.29,54.74,6.21,83.08,Arhar Dal(Tur Dal),Arhar Dal(Tur)
87.57,52.09,80.55,26.1,66.76,6.93,113.86,Mango(Raw-Ripe),Other
150.13,88.98,114.16,19.92,76.47,5.58,63.01,Potato,Potato
101.81,43.08,40.89,30.89,89.14,5.96,170.2,Rice,Common
66.31,30.99,85.16,30.79,76.87,6.39,231.79,Coconut,Coconut
105.52,57.62,52.8,15.5,64.99,6.37,96.77,Cabbage,Cabbage
18.33,39.15,20.16,29.5,68.77,6.02,63.27,Green Gram Dal(Moong Dal),Green Gram Dal
87.15,40.45,41.05,23.22,63.73,6.07,91.04,Brinjal,Brinjal
106.92,43.46,94.09,31.04,49.47,7.12,106.09,Mango(Raw-Ripe),Other
62.29,28.88,75.85,17.88,70.45,6.08,99.24,Apple,Apple
37.82,42.56,34.44,22.32,68.04,6.89,70.73,Arhar Dal(Tur Dal),Arhar Dal(Tur)
89.35,42.61,50.06,24.26,60.7,6.89,102.21,Brinjal,Brinjal
65.62,27.7,35.58,32.99,49.27,7.1,42.48,Bajra(Pearl Millet/Cumbu),Hybrid
246.17,59.0,110.61,33.33,63.07,7.91,197.16,Sugarcane,Other
114.85,76.24,67.15,23.07,81.99,6.96,102.93,Tomato,Tomato
144.09,62.41,51.23,17.85,66.01,6.34,71.89,Cauliflower,Cauliflower
32.62,49.92,26.1,18.62,59.14,7.69,77.43,Bengal Gram(Gram)(Whole),Desi (Whole)
157.37,98.64,93.27,19.14,66.33,5.2,67.59,Potato,Potato
67.02,56.18,49.38,14.0,69.46,6.18,61.63,Garlic,Garlic
129.11,54.61,55.84,27.48,65.24,6.2,77.93,Maize,Hybrid/Local
49.99,35.09,31.25,18.44,52.49,7.41,73.01,Coriander(Leaves),Coriander
30.01,47.87,25.03,22.59,69.09,6.52,82.83,Arhar Dal(Tur Dal),Arhar Dal(Tur)
80.57,58.36,47.56,23.08,51.88,6.84,91.47,Onion,Local
30.77,43.99,23.99,21.53,46.11,6.85,31.2,Bengal Gram(Gram)(Whole),Desi (Whole)
26.76,54.09,41.68,27.76,70.69,7.1,95.33,Soyabean,Local
87.02,43.98,40.85,15.25,63.15,7.43,58.79,Mustard,Mustard
73.8,33.88,95.43,19.95,79.23,5.87,98.97,Apple,Apple
109.66,53.79,52.72,21.61,67.77,6.63,77.46,Wheat,Local
116.02,55.72,44.24,29.0,56.46,6.76,79.38,Cotton,Other
113.81,61.21,67.3,21.69,68.57,6.75,79.64,Maize,Hybrid/Local
35.64,53.76,31.52,21.49,48.73,6.07,65.04,Bengal Gram(Gram)(Whole),Desi (Whole)
112.74,77.11,73.88,18.13,80.29,6.74,69.01,Tomato,Tomato
60.43,35.43,82.04,27.85,73.08,7.37,179.22,Coconut,Coconut
101.53,47.47,56.52,30.6,63.13,7.31,104.98,Cotton,Other
43.11,24.25,20.35,19.76,52.5,6.1,51.1,Coriander(Leaves),Coriander
199.68,119.47,174.59,33.15,60.55,7.13,188.75,Papaya,Papaya
26.56,56.51,30.38,26.23,68.79,6.07,61.34,Soyabean,Local
115.2,61.26,54.66,20.06,68.79,6.4,93.24,Maize,Hybrid/Local
26.32,62.51,34.75,22.9,55.58,7.31,100.42,Soyabean,Local
153.05,106.04,207.85,25.93,63.16,6.62,181.2,Papaya,Papaya
97.56,40.55,46.61,27.36,78.63,6.37,117.44,Brinjal,Brinjal
98.97,43.44,44.17,23.17,62.03,6.78,90.61,Garlic,Garlic
80.08,32.87,31.9,21.68,80.6,6.21,166.07,Paddy(Basmati),Basmati
117.64,57.94,46.94,16.43,66.5,6.91,53.13,Onion,Local
96.26,54.33,109.4,30.54,58.49,5.75,122.0,Mango(Raw-Ripe),Other
75.34,42.98,40.45,22.57,62.11,6.83,52.87,Pumpkin,Pumpkin
41.63,31.73,88.24,20.1,62.33,6.17,101.29,Apple,Apple
58.21,22.73,38.66,22.07,52.06,6.1,59.28,Coriander(Leaves),Coriander
147.23,50.81,56.09,18.34,64.6,6.95,55.21,Cabbage,Cabbage
116.02,57.29,57.97,26.72,57.91,7.2,71.38,Maize,Hybrid/Local
103.95,49.32,52.29,18.02,51.28,7.49,68.63,Onion,Local
87.06,42.37,58.84,24.39,64.35,6.61,86.34,Green Chilli,Green Chilly
126.71,55.33,52.48,16.39,72.86,7.0,91.53,Cabbage,Cabbage
75.14,36.74,79.9,15.96,70.74,5.66,115.67,Apple,Apple
39.83,69.61,40.89,24.92,60.16,6.99,106.92,Soyabean,Local
76.49,47.84,46.81,15.3,65.06,7.54,48.21,Mustard,Mustard
24.04,38.25,24.38,26.13,54.69,7.05,64.69,Green Gram Dal(Moong Dal),Green Gram Dal
25.48,48.45,23.78,27.81,61.51,7.11,72.9,Green Gram Dal(Moong Dal),Green Gram Dal
240.56,149.85,177.63,25.23,69.34,7.39,175.24,Papaya,Papaya
84.84,34.9,78.78,26.06,60.01,7.12,69.46,Grapes,Other
152.28,75.34,89.47,31.25,63.76,6.97,181.35,Sugarcane,Other
147.37,53.56,56.14,17.09,78.74,7.02,91.63,Cauliflower,Cauliflower
37.52,50.81,45.22,28.39,70.29,7.1,117.43,Soyabean,Local
137.71,52.73,63.82,15.26,68.98,6.46,64.98,Cabbage,Cabbage
77.89,47.58,47.24,16.33,50.56,7.66,44.53,Mustard,Mustard
58.34,32.99,38.01,24.98,57.72,6.59,66.64,Coriander(Leaves),Coriander
125.3,53.69,90.97,27.96,72.82,6.19,83.29,Orange,Orange
75.42,40.51,64.75,21.76,65.23,6.07,66.04,Grapes,Other
63.47,30.53,95.89,29.5,66.95,6.36,56.21,Grapes,Other
83.45,52.51,89.1,27.0,63.51,5.58,176.98,Ginger(Green),Green Ginger
177.21,112.74,87.13,15.17,65.13,5.23,79.21,Potato,Potato
219.31,57.81,104.69,30.37,75.87,6.27,232.95,Sugarcane,Other
92.82,51.27,40.89,19.51,59.47,7.46,71.81,Wheat,Local
28.91,45.77,17.49,33.66,50.74,7.42,75.43,Green Gram Dal(Moong Dal),Green Gram Dal
103.53,57.77,104.82,26.39,46.91,7.18,92.18,Mango(Raw-Ripe),Other
29.74,53.86,48.22,21.03,61.73,6.31,71.63,Groundnut,Local
127.55,72.18,70.31,21.45,81.26,7.24,54.88,Tomato,Tomato
128.15,41.72,119.97,21.32,63.43,5.85,161.81,Turmeric(raw),Other
55.47,26.56,38.08,30.06,48.63,6.66,73.28,Bajra(Pearl Millet/Cumbu),Hybrid
80.22,37.76,30.89,33.43,68.66,6.59,78.8,Bhindi(Ladies Finger),Bhindi
78.82,33.39,39.31,25.7,81.86,6.35,185.97,Paddy(Basmati),Basmati
148.38,50.98,56.86,26.89,73.24,6.6,103.51,Maize,Hybrid/Local
27.55,41.67,34.81,29.84,52.02,7.27,70.4,Groundnut,Local
119.62,51.53,58.05,19.88,58.17,6.15,54.45,Onion,Local
51.49,21.75,69.61,18.4,67.86,5.79,80.88,Apple,Apple
90.26,32.84,98.02,23.34,69.86,7.32,71.93,Grapes,Other
113.7,45.74,57.44,22.52,71.3,6.28,88.92,Brinjal,Brinjal
110.24,66.56,65.04,15.67,64.47,7.3,61.83,Cabbage,Cabbage
27.69,52.58,29.03,23.69,52.82,7.09,87.27,Arhar Dal(Tur Dal),Arhar Dal(Tur)
74.57,44.65,66.09,20.2,67.4,7.49,52.87,Grapes,Other
75.31,33.28,71.42,16.17,75.17,5.99,109.4,Apple,Apple
215.79,42.07,235.09,31.46,85.75,7.3,247.88,Banana,Other
25.73,44.42,25.32,20.72,59.53,6.8,66.41,Arhar Dal(Tur Dal),Arhar Dal(Tur)
49.72,36.39,25.41,16.95,60.72,6.72,55.49,Coriander(Leaves),Coriander
120.37,52.53,115.52,26.43,76.42,6.77,153.69,Turmeric(raw),Other
127.34,60.95,56.69,16.8,75.56,6.25,95.06,Cabbage,Cabbage
95.93,43.5,47.86,21.37,56.9,6.27,66.04,Onion,Local
27.85,43.63,15.97,29.66,60.18,6.68,69.44,Green Gram Dal(Moong Dal),Green Gram Dal
135.8,66.63,57.5,20.82,68.29,6.27,54.0,Cauliflower,Cauliflower
63.41,32.64,38.03,28.28,58.98,7.58,65.93,Bajra(Pearl Millet/Cumbu),Hybrid
137.64,55.28,110.65,27.07,67.42,6.66,126.21,Orange,Orange
154.27,86.3,97.8,18.06,79.1,5.36,78.38,Potato,Potato
107.57,50.03,54.47,16.3,64.06,6.3,66.47,Cabbage,Cabbage
60.09,45.86,52.67,22.13,58.42,7.28,83.47,Pumpkin,Pumpkin
94.07,51.78,54.96,17.55,65.0,6.64,81.44,Onion,Local
203.89,44.82,272.06,33.86,89.48,6.47,226.32,Banana,Other
192.02,51.33,84.01,29.63,73.81,7.08,218.02,Sugarcane,Other
153.2,145.13,150.49,28.6,78.37,6.34,147.6,Papaya,Papaya
54.09,21.9,28.91,24.43,50.61,7.15,70.3,Coriander(Leaves),Coriander
131.21,57.64,87.56,23.17,74.48,6.67,144.97,Turmeric(raw),Other
